項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
主要な設備の状況、賃貸資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
設備投資等の概要、賃貸資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
主要な設備の状況、自社用資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
設備の新設、除却等の計画、自社用資産、リース事業 [テキストブロック],25,FilingDateInstant,その他,時点,－
非正規雇用労働者、育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則第71条の4第1号における割合を算出、男性労働者の育児休業取得率、提出会社の指標,25,CurrentYearInstant_NonConsolidatedMember,その他,時点,
注記事項－関連会社及びジョイント・ベンチャー、連結財務諸表（IFRS） [テキストブロック],25,CurrentYearDuration,その他,期間,－
有価証券運用損、営業外費用,25,Prior1YearDuration,連結,期間,円
役員退職慰労金、営業活動によるキャッシュ・フロー,24,Prior1YTDDuration,連結,期間,円
投資不動産の取得による支出、投資活動によるキャッシュ・フロー,24,Prior1YTDDuration,連結,期間,円
電子記録債権売却損、営業外費用,24,Prior1YearDuration,連結,期間,円
有利子負債、支払利息（IFRS）,24,Prior1YearDuration,その他,期間,円
作業くず売却益、営業外収益,24,Prior1YearDuration,連結,期間,円
デリバティブ、受取利息（IFRS）,24,Prior1YearDuration,その他,期間,円
先物取引差金勘定、その他資産、資産の部、銀行業,24,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
配当積立金,24,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
リストラクチャリング費用（IFRS）,24,Prior1YearDuration,その他,期間,円
四半期連結資本勘定計算書（US GAAP） [テキストブロック],24,CurrentYTDDuration,その他,期間,－
その他の業務費用、経常費用、銀行業,24,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－営業費用、要約四半期連結財務諸表（IFRS） [テキストブロック],24,CurrentYTDDuration,その他,期間,－
貸付金のうち破綻先債権、延滞債権、3ヵ月以上延滞債権及び貸出条件緩和債権の額に関する注記、保険業 [テキストブロック],24,InterimInstant,その他,時点,－
受取保険金及び配当金、営業外収益,24,Prior1YearDuration,連結,期間,円
会員権評価損、特別損失,24,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
注記事項－財務活動から生じた負債の変動、要約四半期連結財務諸表（IFRS） [テキストブロック],24,CurrentYTDDuration,その他,期間,－
従業員に対する長期貸付金の回収による収入、投資活動によるキャッシュ・フロー,24,Prior1YTDDuration,連結,期間,円
企業結合等関係、四半期財務諸表 [テキストブロック],24,CurrentYTDDuration,その他,期間,－
キャッシュ・フロー計算書における資金の範囲 [テキストブロック],23,CurrentYearDuration_NonConsolidatedMember,その他,期間,－
会計基準等の改正等に伴う会計方針の変更、中間財務諸表 [テキストブロック],23,InterimDuration,その他,期間,－
保険業法に基づく債権に関する注記、保険業 [テキストブロック],23,CurrentYearInstant,その他,時点,－
有価証券関係、四半期財務諸表 [テキストブロック],22,CurrentYTDDuration,その他,期間,－
その他の投資評価損、特別損失,22,Prior1YTDDuration,連結,期間,円
諸税、営業費、不動産事業、鉄道事業,22,Prior1YTDDuration,連結,期間,円
重要な収益及び費用の計上基準 [テキストブロック],22,CurrentYearDuration,その他,期間,－
雇用調整助成金、特別利益,22,Prior1YearDuration,連結,期間,円
仮受金,22,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
事業構造改善引当金戻入額、特別利益,22,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
棚卸資産廃棄損、特別損失,22,Prior1YearDuration,連結,期間,円
先物取引差金勘定、その他負債、負債の部、銀行業,22,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
注記事項－金融収益、連結財務諸表（IFRS） [テキストブロック],22,CurrentYearDuration,その他,期間,－
短期差入保証金の増減額（△は増加）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,22,Prior1YTDDuration,連結,期間,円
製品他勘定振替高、売上原価,22,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
偶発損失引当金、固定負債,22,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
金融商品取引責任準備金繰入れ、特別損失、第一種金融商品取引業,22,Prior1YearDuration,連結,期間,円
未払債務の増減額（△は減少）、営業活動によるキャッシュ・フロー,22,Prior1YTDDuration,連結,期間,円
賃貸費用（IFRS）,22,Prior1YearDuration,その他,期間,円
リース債務、負債の部,22,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
荷造及び発送費、販売費及び一般管理費,22,Prior1YTDDuration,連結,期間,円
関連会社の売却による収入、投資活動によるキャッシュ・フロー（IFRS）,22,Prior1YTDDuration,その他,期間,円
金融商品取引責任準備金の増減額（△は減少）、営業活動によるキャッシュ・フロー、第一種金融商品取引業,22,Prior1YTDDuration,連結,期間,円
特許実施権,22,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
供給販売費、ガス事業,22,Prior1YTDDuration,連結,期間,円
土地圧縮積立金の取崩,22,CurrentYearDuration_NonConsolidatedMember_CapitalSurplusMember,個別,期間,円
金融費用の内訳、第一種金融商品取引業 [テキストブロック],22,CurrentYTDDuration,その他,期間,－
出資金運用損益（△は益）、営業活動によるキャッシュ・フロー,21,CurrentYTDDuration_NonConsolidatedMember,個別,期間,円
資産除去債務関係、中間連結財務諸表 [テキストブロック],21,InterimDuration,その他,期間,－
関連会社株式売却損（IFRS）,21,Prior1YTDDuration,その他,期間,円
会計上の見積りの変更と区別することが困難な会計方針の変更、連結財務諸表 [テキストブロック],21,CurrentYearDuration,その他,期間,－
子会社株式の売却による収入、投資活動によるキャッシュ・フロー,21,Prior1YearDuration,連結,期間,円
給料・手当、一般管理費、投資運用業,21,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
著作権,21,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
注記事項－その他の金融資産及びその他の金融負債、連結財務諸表（IFRS） [テキストブロック],21,CurrentYearDuration,その他,期間,－
端末設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
海底線使用権、無形固定資産、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
端末設備（純額）、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
賃貸原価、営業活動による費用・売上原価,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
減価償却累計額、市外線路設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
市外線路設備（純額）、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
土木設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
減価償却累計額、土木設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
土木設備（純額）、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
無形固定資産除売却損益（△は益）、営業活動によるキャッシュ・フロー,20,Prior1YearDuration,連結,期間,円
諸税、営業費、開発事業、鉄道事業,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
減価償却費、営業費、開発事業、鉄道事業,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
開発事業営業費、鉄道事業,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
開発事業営業利益又は開発事業営業損失（△）、鉄道事業,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
仕入割引、営業活動によるキャッシュ・フロー,20,Prior1YearDuration,連結,期間,円
市内線路設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
減価償却累計額、市内線路設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
国際最低課税額に対する法人税等,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
開発事業営業収益、鉄道事業,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
空中線設備（純額）、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
前受工事負担金,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
物品売却損、営業外費用、鉄道事業,20,Prior1YearDuration,連結,期間,円
物品売却益、営業外収益、鉄道事業,20,Prior1YearDuration,連結,期間,円
注記事項－金融資産の譲渡、連結財務諸表（IFRS） [テキストブロック],20,CurrentYearDuration,その他,期間,－
営業貸付金の増減額（△は増加）、営業活動によるキャッシュ・フロー、特定金融業,20,Prior1YTDDuration,連結,期間,円
減価償却累計額、開発事業、鉄道事業,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
差入保証金、流動資産,20,Prior1YearInstant,連結,時点,円
関係会社事業損失、営業活動によるキャッシュ・フロー,20,Prior1YTDDuration,連結,期間,円
減価償却累計額、海底線設備、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
海底線設備（純額）、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
建物、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
減価償却累計額、建物、電気通信事業固定資産,20,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
固定資産除却費、営業費用、電気通信事業営業損益,20,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
その他の営業活動による増減額（△は減少）、営業活動によるキャッシュ・フロー、特定金融業,20,Prior1YTDDuration,連結,期間,円
