項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
持分法適用会社への投資額,10074,Prior1YearDuration_jpcrp030000-asr_E35004-000DigitalIPReportableSegmentsMember,その他,期間,円
連結経営指標等 [テキストブロック],10014,FilingDateInstant,その他,時点,－
その他、連結財務諸表等 [テキストブロック],10008,CurrentYTDDuration,その他,期間,－
売上高（IFRS）,10003,Prior1YTDDuration,その他,期間,円
独立監査人の報告書、連結 [テキストブロック],9994,FilingDateInstant,その他,時点,－
監査法人１、連結,9986,FilingDateInstant,その他,時点,－
減価償却費、営業活動によるキャッシュ・フロー,9976,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
公認会計士１、監査法人１、連結,9960,FilingDateInstant,その他,時点,－
公認会計士２、監査法人１、連結,9946,FilingDateInstant,その他,時点,－
為替差益、営業外収益,9849,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
営業収益,9834,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
建設仮勘定,9727,Prior1YearInstant,連結,時点,円
ソフトウエア,9657,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他、営業活動によるキャッシュ・フロー,9656,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
買掛金,9649,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
商品及び製品,9444,Prior1YearInstant,連結,時点,円
利益剰余金への振替、持分変動計算書（IFRS）,9342,Prior1YTDDuration_ShareCapitalIFRSMember,その他,期間,円
利息の支払額、営業活動によるキャッシュ・フロー又は財務活動によるキャッシュ・フロー,9156,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
銘柄、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,9152,CurrentYearInstant_Row1Member,その他,時点,－
当該株式の発行者による提出会社の株式の保有の有無、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,9152,CurrentYearInstant_Row1Member,その他,時点,－
退職給付に係る調整累計額,9051,Prior1YearInstant,連結,時点,円
投資有価証券売却益、特別利益,9011,Prior1YearDuration,連結,期間,円
現金及び現金同等物（IFRS）、経営指標等,9009,Prior1QuarterInstant,その他,時点,円
総資産額（IFRS）、経営指標等,9008,Prior1QuarterInstant,その他,時点,円
退職給付に係る調整額（税引後）、その他の包括利益,8999,Prior1YTDDuration,連結,期間,円
社債,8988,Prior1YearInstant,連結,時点,円
未払費用,8961,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
財務活動によるキャッシュ・フロー（IFRS）、経営指標等,8956,Prior1YTDDuration,その他,期間,円
投資活動によるキャッシュ・フロー（IFRS）、経営指標等,8944,Prior1YTDDuration,その他,期間,円
営業活動によるキャッシュ・フロー（IFRS）、経営指標等,8944,Prior1YTDDuration,その他,期間,円
セグメント間の売上高（IFRS）,8939,Prior1YTDDuration_jpcrp040300-q3r_E04021-000RevitalizationBusinessReportableSegmentMember,その他,期間,円
親会社所有者帰属持分比率（IFRS）、経営指標等,8932,Prior1QuarterInstant,その他,時点,
利息及び配当金の受取額、営業活動によるキャッシュ・フロー又は投資活動によるキャッシュ・フロー,8926,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
資産除去債務、固定負債,8914,Prior1YearInstant,連結,時点,円
仕入債務の増減額（△は減少）、営業活動によるキャッシュ・フロー,8902,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
希薄化後１株当たり利益又は損失（△）（IFRS）、経営指標等,8894,Prior1YTDDuration,その他,期間,
建物及び構築物（純額）,8863,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
繰延税金負債,8845,Prior1YearInstant,連結,時点,円
外部顧客への売上高（IFRS）,8839,Prior1YTDDuration_jpcrp040300-q3r_E04021-000RevitalizationBusinessReportableSegmentMember,その他,期間,円
工具、器具及び備品（純額）,8778,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他（純額）、有形固定資産,8605,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
親会社の所有者に帰属する持分（IFRS）、経営指標等,8602,Prior1QuarterInstant,その他,時点,円
自己株式の消却,8589,CurrentYearDuration_NonConsolidatedMember_OtherCapitalSurplusMember,個別,期間,円
支払利息、営業活動によるキャッシュ・フロー,8589,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
有形固定資産の取得による支出、投資活動によるキャッシュ・フロー,8529,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
売上債権の増減額（△は増加）、営業活動によるキャッシュ・フロー,8524,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
繰延ヘッジ損益,8484,Prior1YearInstant,連結,時点,円
現金及び現金同等物に係る換算差額,8465,Prior1YTDDuration,連結,期間,円
為替差損、営業外費用,8417,Prior1YTDDuration,連結,期間,円
税引前利益又は税引前損失（△）（IFRS）、経営指標等,8375,Prior4YearDuration,その他,期間,円
法人税等の支払額、営業活動によるキャッシュ・フロー,8312,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
賞与引当金繰入額、販売費及び一般管理費,8209,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
棚卸資産の増減額（△は増加）、営業活動によるキャッシュ・フロー,8159,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
受取利息及び受取配当金、営業活動によるキャッシュ・フロー,8109,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
固定資産除却損、特別損失,7963,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
その他、投資活動によるキャッシュ・フロー,7958,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
減損損失、損益（IFRS）,7919,Prior1YearDuration_jpcrp030000-asr_E31030-000RandDOutsourcingBusinessReportableSegmentMember,その他,期間,円
販売費及び一般管理費（IFRS）,7912,Prior1YTDDuration,その他,期間,円
減価償却費、販売費及び一般管理費,7911,Prior1YearDuration_NonConsolidatedMember,個別,期間,円
配当金の支払額、財務活動によるキャッシュ・フロー,7902,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
指標を公表した会社、連結子会社の指標,7892,CurrentYearInstant_Row1Member,その他,時点,－
