Code,mean,count,std,min,max
3765,0.23330775314637905,1298,0.21120420278221838,-0.740374744,0.761869669
3697,0.23260747479734786,2941,0.22603175130670025,-0.699589968,0.825968802
9204,0.23243151125113634,880,0.26805616691134887,-0.688050449,0.800532401
3904,0.2324111142765232,2347,0.2076639670706755,-0.512904167,0.801581144
4385,0.23237991027695018,6243,0.263884085177906,-0.717470884,0.831843257
8031,0.23218026223105706,2138,0.2745540218069827,-0.707252383,0.823921621
6861,0.23203164952352942,1190,0.2564633117319415,-0.687583923,0.799874842
1925,0.23143884933302164,8555,0.25311762046792596,-0.748525858,0.829176545
3923,0.23136031123627906,1075,0.2490000498228893,-0.589939237,0.828228831
6028,0.23099380207017542,114,0.2691963418228538,-0.588695526,0.769408643
2767,0.23093611347321427,224,0.27807547874816885,-0.712060332,0.842893064
8795,0.23021923942025863,464,0.23418673599025266,-0.721992731,0.779810667
9343,0.22986800384139267,517,0.2653080456094144,-0.666307032,0.849576056
7061,0.22956603074418605,43,0.2875276988209035,-0.598817408,0.743818283
2998,0.22942400972463767,69,0.3074958666379272,-0.673709869,0.763838053
135A,0.22912123554054054,37,0.30630309823200097,-0.580373347,0.741070271
9110,0.2290956545098039,102,0.32141714186972115,-0.698550105,0.796782494
2384,0.2285695568498233,566,0.2797246641186135,-0.705231071,0.780168355
2678,0.22848932365184624,1327,0.32776910505412105,-0.735203028,0.84251821
6436,0.22841681910294118,476,0.26046382155498543,-0.69617188,0.838178515
1942,0.22838334267523364,428,0.2429053280675632,-0.483253896,0.801716983
4307,0.22824338549833148,1798,0.2788202441735769,-0.676466763,0.832249343
6176,0.22769830739207048,454,0.18443156632137958,-0.533878922,0.806983113
4194,0.2275578129452736,201,0.28095327964100825,-0.574342191,0.831895888
9348,0.227313211684,500,0.2762147295026008,-0.695319712,0.752966642
5244,0.2269206178945578,294,0.23498357700223202,-0.694277883,0.662062824
9064,0.22683143494676586,1747,0.3267584613268742,-0.721242249,0.828431308
7050,0.2266054995824176,91,0.2683094126039709,-0.577453136,0.81418097
7906,0.22653557240909092,1914,0.19805205996098058,-0.539902091,0.809063375
6902,0.22619607147738122,4399,0.2653229028271642,-0.757717371,0.831960738
7013,0.2258641694735013,2302,0.2897058597108582,-0.730095387,0.841667533
6503,0.22534137564974382,2147,0.2845344720109066,-0.692728162,0.83212316
6361,0.22425930336661465,1282,0.24618906145383568,-0.666630507,0.809788287
4613,0.224199027323185,427,0.2726767364432628,-0.675088167,0.822120488
7794,0.22374988361403508,114,0.256588264189961,-0.600888491,0.643773019
8515,0.22370262767108168,453,0.2786302958294896,-0.593543351,0.761207044
241A,0.223672007969697,33,0.3100405394464889,-0.303467095,0.623202741
7951,0.2232946826073925,8441,0.2229182457045038,-0.732994437,0.814822853
3991,0.22287985326340326,429,0.277397229329603,-0.632449865,0.71876061
4689,0.22283032575879763,1364,0.28038078407254013,-0.730812252,0.842994332
7936,0.2227422304276894,5345,0.19874849873647582,-0.722543538,0.82921946
6670,0.2226522767916667,72,0.2850571212375904,-0.462842464,0.808566928
