code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
6232,ＡＣＳＬ,0,0,0,0,0,1
6254,野村マイクロ・サイエンス,0,0,0,1,0,0
6255,エヌ・ピー・シー,0,0,0,0,0,1
6269,三井海洋開発,0,0,0,1,0,0
6273,ＳＭＣ,1,0,1,1,0,0
6301,コマツ,1,0,1,1,0,0
6302,住友重,1,0,0,0,0,0
6305,日立建機,1,0,0,1,0,0
6323,ローツェ,0,0,0,1,0,0
6326,クボタ,1,0,1,1,0,0
6361,荏原,1,0,0,1,0,0
6367,ダイキン,1,1,1,1,0,0
6368,オルガノ,0,0,0,1,0,0
6383,ダイフク,0,0,0,1,0,0
6417,ＳＡＮＫＹＯ,0,0,0,1,0,0
6432,竹内製作所,0,0,0,1,0,0
6436,アマノ,0,0,0,1,0,0
6448,ブラザー工業,0,0,0,1,0,0
6460,セガサミーホールディングス,0,0,0,1,0,0
6465,ホシザキ,0,0,0,1,0,0
6471,日精工,1,0,0,0,0,0
6472,ＮＴＮ,1,0,0,0,0,0
6473,ジェイテクト,1,0,0,0,0,0
6479,ミネベア,1,0,0,1,0,0
6501,日立,1,1,1,1,0,0
6503,三菱電,1,1,1,1,0,0
6504,富士電機,1,0,0,1,0,0
6506,安川電,1,0,0,1,0,0
6521,オキサイド,0,0,0,0,0,1
6526,ソシオネクス,1,0,0,0,0,0
6532,ベイカレント,1,0,0,1,0,0
6544,ジャパンエレベーターサービスホールディングス,0,0,0,1,0,0
6557,ＡＩＡＩグループ,0,0,0,0,0,1
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,0,0,0,0,0,1
6562,ジーニー,0,0,0,0,0,1
6568,神戸天然物化学,0,0,0,0,0,1
6574,コンヴァノ,0,0,0,0,0,1
6586,マキタ,0,0,0,1,0,0
6590,芝浦メカトロニクス,0,0,0,1,0,0
6594,ニデック,1,0,1,0,0,0
6612,バルミューダ,0,0,0,0,0,1
6613,ＱＤレーザ,0,0,0,0,0,1
6632,ＪＶＣケンウッド,0,0,0,1,0,0
6645,オムロン,1,0,0,1,0,0
6670,ＭＣＪ,0,0,0,1,0,0
6674,ＧＳユアサ,1,0,0,0,0,0
6701,ＮＥＣ,1,0,1,1,0,0
6702,富士通,1,0,1,1,0,0
6707,サンケン電気,0,0,0,1,0,0
6723,ルネサス,1,0,1,1,0,0
6724,エプソン,1,0,0,1,0,0
6728,アルバック,0,0,0,1,0,0
6752,パナＨＤ,1,0,1,1,0,0
6753,シャープ,1,0,0,0,0,0
6758,ソニーＧ,1,1,1,1,0,0
6762,ＴＤＫ,1,0,1,1,0,0
6770,アルプスアル,1,0,0,0,0,0
6787,メイコー,0,0,0,1,0,0
6806,ヒロセ電機,0,0,0,1,0,0
6841,横河電,1,0,0,1,0,0
6845,アズビル,0,0,0,1,0,0
6849,日本光電工業,0,0,0,1,0,0
6856,堀場製作所,0,0,0,1,0,0
6857,アドテスト,1,0,1,1,0,0
6861,キーエンス,1,1,1,1,0,0
6869,シスメックス,0,0,1,1,0,0
6902,デンソー,1,0,1,1,0,0
6920,レーザーテク,1,0,1,1,0,0
6951,日本電子,0,0,0,1,0,0
6952,カシオ,1,0,0,0,0,0
6954,ファナック,1,0,1,1,0,0
6963,ローム,1,0,0,0,0,0
6965,浜松ホトニクス,0,0,0,1,0,0
6966,三井ハイテック,0,0,0,1,0,0
6971,京セラ,1,0,1,0,0,0
6976,太陽誘電,1,0,0,0,0,0
6981,村田製,1,1,1,1,0,0
6988,日東電,1,0,0,1,0,0
7003,三井Ｅ＆Ｓ,0,0,0,1,0,0
7004,カナデビア,1,0,0,1,0,0
7011,三菱重,1,1,1,1,0,0
7012,川重,1,0,0,1,0,0
7013,ＩＨＩ,1,0,0,1,0,0
7014,名村造船所,0,0,0,1,0,0
7047,ポート,0,0,0,0,0,1
7048,ベルトラ,0,0,0,0,0,1
7050,フロンティアインターナショナル,0,0,0,0,0,1
7061,日本ホスピスホールディングス,0,0,0,0,0,1
7066,ピアズ,0,0,0,0,0,1
7068,フィードフォースグループ,0,0,0,0,0,1
7079,ＷＤＢココ,0,0,0,0,0,1
7094,ＮｅｘＴｏｎｅ,0,0,0,0,0,1
7096,ステムセル研究所,0,0,0,0,0,1
7105,三菱ロジスネクスト,0,0,0,1,0,0
7110,クラシコム,0,0,0,0,0,1
7119,ハルメクホールディングス,0,0,0,0,0,1
7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,0,0,0,0,0,1
7148,ＦＰＧ,0,0,0,1,0,0
7157,ライフネット生命保険,0,0,0,0,1,1
7164,全国保証,0,0,0,1,0,0
7167,めぶきフィナンシャルグループ,0,0,0,1,0,0
7182,ゆうちょ銀行,0,0,1,0,0,0
7186,コンコルディ,1,0,0,1,0,0
7201,日産自,1,0,1,0,0,0
7202,いすゞ,1,0,0,1,0,0
7203,トヨタ,1,1,1,1,0,0
7205,日野自,1,0,0,0,0,0
7211,三菱自,1,0,0,1,0,0
7259,アイシン,0,0,0,1,0,0
7261,マツダ,1,0,0,1,0,0
7267,ホンダ,1,1,1,1,0,0
7269,スズキ,1,0,1,1,0,0
7270,ＳＵＢＡＲＵ,1,0,1,1,0,0
7272,ヤマハ発,1,0,0,1,0,0
7276,小糸製作所,0,0,0,1,0,0
7282,豊田合成,0,0,0,1,0,0
7309,シマノ,0,0,1,1,0,0
